,Train Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Cross-Val Score
Logistic Regression,0.758957654723127,0.7337662337662337,0.6031746031746031,0.7037037037037037,0.6495726495726496,0.7541116886578703
Random Forest,0.8306188925081434,0.7402597402597403,0.6666666666666666,0.5185185185185185,0.5833333333333334,0.7752499000399841
Gradient Boosting,0.998371335504886,0.7467532467532467,0.6530612244897959,0.5925925925925926,0.6213592233009708,0.7377715580434492
SVM,0.8224755700325733,0.7272727272727273,0.5909090909090909,0.7222222222222222,0.65,0.734572837531654
K-Nearest Neighbors,0.8289902280130294,0.7532467532467533,0.66,0.6111111111111112,0.6346153846153846,0.7443822471011595
Naive Bayes,0.7638436482084691,0.7012987012987013,0.5666666666666667,0.6296296296296297,0.5964912280701754,0.7589764094362256
